"","X","species","mat.low","mat.high","mat","map.low","map.high","map","tmin.low","tmin.high","tmin","etp.low","etp.high","etp","la","sla","ssd","sm","mean_ldmc","min_ldmc","max_ldmc","shade_tol_mean","shade_tol_sd","group","new_gp"
"90",90,"Platanus occidentalis",8.6,20.7,14.2575568660489,713,1482,1049.83605728728,-9,7.36499999999996,-1.70449873631003,72.504,125.174,95.5338083207007,16884.2997891667,19.1436482983333,0.423333333333333,2.85312947619048,NA,NA,NA,2.86,0.16,"A","angio"
"91",91,"Populus deltoides",6.5675,20.6,12.632870864461,331,1280.625,857.882870864461,-14.1,6.7,-4.11294023479189,67.02,131.113,94.0636836489731,5135.25,12.1584410067534,0.411348657,0.869159175925927,NA,NA,NA,1.76,0.38,"A","angio"
"92",92,"Populus grandidentata",4.4,13.3,7.99668421052632,699,1428.575,1009.28052631579,-17,-2.4,-9.68578947368421,61.67475,92.14675,73.5550157894737,3555.4793683125,14.4184373512083,0.385,0.148697919114286,0.55305,0.4569575,0.6491425,1.21,0.27,"A","angio"
"93",93,"Populus nigra",7.7,18.1,12.7642707252392,382,1192,668.242522771821,-5.2,6.8,0.963641185287674,58.47,111.69,85.4891457402203,2939.89722222222,13.0816666666667,0.391505,0.805,0.307846,0.2691505,0.352345,2.46,0.09,"A","angio"
"94",94,"Populus tremula",0.7,12,7.19376005056002,491,1425,734.70403426846,-14.4,2.6,-4.62746883887504,38.5,80.73,58.106637794392,2217.49576717381,14.3560840603017,0.380352988649111,0.103711224489796,0.375067730616031,0.3003180820089,0.4541,2.22,0.07,"A","angio"
"95",95,"Populus tremuloides",0.5,10.9,6.05402759948652,258,1308.225,677.997593068036,-20.5,-3.3,-11.2568677792041,53.92775,104.20025,77.4403385750963,3637.89070579834,14.3098943676201,0.368001970958333,0.116400714285714,0.361071835655118,0.26732291064,0.439957967725202,1.21,0.18,"A","angio"
"96",96,"Prunus avium",6,13.7,9.59559639512281,541,1392,812.190693290923,-6.4,3.8,-1.00021911998586,49.09,88.07425,67.3409812435282,2340.76693333333,16.5071885598148,0.547319771333333,192.810284761905,0.38380875,0.3112815,0.467659,3.33,0.33,"A","angio"
"97",97,"Prunus serotina",7.4,15.1,10.1039700404374,582,1268,833.633911675066,-10.4,2.2,-0.701892392581821,55.76,103.55225,68.5181292801401,2617.29780860494,17.3236413477922,0.5649501262,114.155428214489,0.29936434188335,0.1859340659385,0.374793575225,2.46,0.34,"A","angio"
"98",98,"Pseudotsuga menziesii",5.2,13.4,9.74094301934399,344.575,2218.425,963.565496215307,-10,5.5,-0.674668839360807,54.34025,100.27875,70.1796660014704,27.9413934013333,7.43448940037421,0.477561770166667,11.6337769111111,0.519410112359551,0.4066,0.69202,2.78,0.18,"D","gymno"
"99",99,"Quercus alba",6.5,18.7,11.7759098786828,774,1502.25,1098.26754766031,-13.7,4.3,-4.60821057192374,67.29425,110.0245,85.9861260285838,7533.08404975654,14.9376834327499,0.6151790087,3092.78070233333,0.299337196375122,0.27179487179,0.32167832168,2.85,0.17,"A","angio"
