"","species","c1_total_RMSE_weighted","c1_mean_RMSE_weighted","c2_total_RMSE_weighted","c2_mean_RMSE_weighted","c1_total_RMSE_no_weighted","c1_mean_RMSE_no_weighted","c2_total_RMSE_no_weighted","c2_mean_RMSE_no_weighted","c1_total_AIC","c1_mean_AIC","c2_total_AIC","c2_mean_AIC"
"65","Magnolia virginiana",352.893839958857,3.52893839958857,355.208810324987,3.55208810324987,352.893839958857,3.52893839958857,355.208810324987,3.55208810324987,194483.081764849,1944.83081764849,194493.682908302,1944.93682908302
"66","Morus rubra",326.774934328532,3.26774934328532,329.252581346097,3.29252581346097,326.774934328532,3.26774934328532,329.252581346097,3.29252581346097,123146.88918766,1231.4688918766,123671.507969329,1236.71507969329
"67","Myrica faya",295.836692091914,2.95836692091914,287.203823858572,2.87203823858572,295.836692091914,2.95836692091914,287.203823858572,2.87203823858572,27342.126744974,273.42126744974,26627.1260418006,266.271260418006
"68","Notholithocarpus densiflorus",447.510033921123,4.47510033921123,443.824851990856,4.43824851990856,447.510033921123,4.47510033921123,443.824851990856,4.43824851990856,306429.690156374,3064.29690156374,305459.277182074,3054.59277182074
"69","Nyssa aquatica",458.400547838656,4.58400547838656,459.932115524111,4.59932115524111,458.400547838656,4.58400547838656,459.932115524111,4.59932115524111,176302.774422123,1763.02774422123,176268.449606849,1762.68449606849
"70","Nyssa sylvatica",354.796432096923,3.54796432096923,353.507684646038,3.53507684646038,354.796432096923,3.54796432096923,353.507684646038,3.53507684646038,1301425.99772815,13014.2599772815,1298970.26986059,12989.7026986059
"71","Olea europaea",180.88017992416,1.8088017992416,182.175954058603,1.82175954058603,185.567034100237,1.85567034100237,191.290862686761,1.91290862686761,42107.2043290009,421.072043290009,42095.3707216718,420.953707216718
"72","Ostrya virginiana",269.193684223079,2.69193684223079,269.130707801308,2.69130707801308,282.484535222984,2.82484535222984,283.45571521652,2.8345571521652,296031.01750638,2960.3101750638,295832.156952346,2958.32156952346
"73","Oxydendrum arboreum",310.211207986738,3.10211207986738,309.551270404423,3.09551270404423,310.211207986738,3.10211207986738,309.551270404423,3.09551270404423,500648.851172122,5006.48851172122,500138.554792351,5001.38554792351
"74","Picea",376.762377809009,3.76762377809009,330.544404774754,3.30544404774754,376.762377809009,3.76762377809009,330.544404774754,3.30544404774754,11195.9534969237,111.959534969237,10976.08860179,109.7608860179
"75","Picea abies",422.850537297589,4.22850537297589,413.890719928573,4.13890719928573,430.941910940387,4.30941910940387,422.853490742621,4.22853490742621,2811570.01914526,28115.7001914526,2799421.21464226,27994.2121464226
"76","Picea engelmannii",450.815251858834,4.50815251858834,443.501525980714,4.43501525980714,469.33980666877,4.6933980666877,465.58001870328,4.6558001870328,895860.72167915,8958.6072167915,891063.964705872,8910.63964705872
"77","Picea glauca",269.470585771824,2.69470585771824,273.12156272918,2.7312156272918,274.605608689997,2.74605608689997,279.332049296063,2.79332049296063,866525.936492465,8665.25936492465,870325.507406885,8703.25507406885
"78","Picea mariana",222.488538297449,2.22488538297449,222.012470407347,2.22012470407347,222.485950171555,2.22485950171555,222.002752474043,2.22002752474043,1657098.73545733,16570.9873545733,1653291.5077101,16532.915077101
"79","Picea rubens",253.899684992893,2.53899684992893,245.48160987283,2.4548160987283,259.415647398654,2.59415647398654,254.101630088315,2.54101630088315,763251.903236596,7632.51903236596,752390.332690783,7523.90332690783
"80","Picea sitchensis",622.807771027863,6.22807771027863,621.909117609062,6.21909117609062,654.532127180752,6.54532127180752,655.815247914044,6.55815247914044,260697.836007303,2606.97836007303,259857.305714043,2598.57305714043
"81","Pinus albicaulis",356.279865065095,3.56279865065095,360.146220901205,3.60146220901205,356.279865065095,3.56279865065095,360.146220901205,3.60146220901205,185300.48061973,1853.0048061973,185775.952387402,1857.75952387402
"82","Pinus banksiana",282.883336253879,2.82883336253879,296.349658582452,2.96349658582452,288.754429312847,2.88754429312847,311.496887677828,3.11496887677828,672074.42648373,6720.7442648373,670286.338803401,6702.86338803401
"83","Pinus canariensis",394.822215267333,3.94822215267332,395.018037132215,3.95018037132215,395.48971482758,3.9548971482758,395.739694792906,3.95739694792906,343165.054243656,3431.65054243656,343453.243430226,3434.53243430226
"84","Pinus clausa",286.537153431227,2.86537153431227,284.583369680955,2.84583369680955,286.537153431227,2.86537153431227,284.583369680955,2.84583369680955,70079.4231857813,700.794231857813,69359.1370637347,693.591370637347
"85","Pinus contorta",499.615976925637,4.99615976925637,507.220192707183,5.07220192707183,502.416498948339,5.02416498948339,511.166040036026,5.11166040036026,481306.411373613,4813.06411373613,483321.492627807,4833.21492627807
"86","Pinus echinata",359.665341922855,3.59665341922855,338.238071657427,3.38238071657427,359.665341922855,3.59665341922855,338.238071657427,3.38238071657427,1140297.95487872,11402.9795487872,1115394.19893832,11153.9419893832
"87","Pinus elliottii",302.09927474993,3.0209927474993,287.991342772226,2.87991342772226,302.09927474993,3.0209927474993,287.991342772226,2.87991342772226,985449.38621005,9854.4938621005,964899.36299402,9648.99362994019
"88","Pinus halepensis",259.940608262487,2.59940608262487,266.092077024847,2.66092077024847,263.035713317636,2.63035713317636,267.576049332486,2.67576049332486,1344097.63732971,13440.9763732971,1354250.80931764,13542.5080931764
