"","species","c1_total_RMSE_weighted","c1_mean_RMSE_weighted","c2_total_RMSE_weighted","c2_mean_RMSE_weighted","c1_total_RMSE_no_weighted","c1_mean_RMSE_no_weighted","c2_total_RMSE_no_weighted","c2_mean_RMSE_no_weighted","c1_total_AIC","c1_mean_AIC","c2_total_AIC","c2_mean_AIC"
"63","Pinus albicaulis",20.2618922782509,0.202618922782509,20.3402865919567,0.203402865919567,20.2618922782509,0.202618922782509,20.3402865919567,0.203402865919567,-14271.4940284921,-142.714940284921,-13542.1544772247,-135.421544772247
"64","Pinus banksiana",15.0697729759359,0.150697729759359,14.9680608992026,0.149680608992026,15.5034928822757,0.155034928822757,15.1469375320346,0.151469375320346,-111381.217636176,-1113.81217636176,-111949.799501147,-1119.49799501147
"65","Pinus clausa",15.7186607664339,0.157186607664339,15.5929724384835,0.155929724384835,15.7186607664339,0.157186607664339,15.5929724384835,0.155929724384835,-12509.9380191556,-125.099380191556,-12759.5346551259,-127.595346551259
"66","Pinus contorta",20.2684179469161,0.202684179469161,20.7811474378759,0.207811474378759,22.7048484611246,0.227048484611246,22.5459840983922,0.225459840983922,-35126.1507522761,-351.261507522761,-30482.8380714054,-304.828380714054
"67","Pinus echinata",9.71847391685026,0.0971847391685026,9.52926756612536,0.0952926756612536,10.5653353337562,0.105653353337562,10.3275527049821,0.103275527049821,-418424.049860722,-4184.24049860722,-427441.550928996,-4274.41550928996
"68","Pinus elliottii",10.2272174879605,0.102272174879605,9.96469294782388,0.0996469294782388,10.9278995159315,0.109278995159315,10.8454387992668,0.108454387992668,-346587.92492494,-3465.8792492494,-356815.012464258,-3568.15012464258
"69","Pinus jeffreyi",16.8444771710778,0.168444771710778,17.2405156156826,0.172405156156826,16.8444771710778,0.168444771710778,17.2405156156826,0.172405156156826,-34529.1127187469,-345.291127187469,-32982.9599306403,-329.829599306403
"70","Pinus nigra",27.2614634311244,0.272614634311244,25.7798343779189,0.257798343779189,27.329267793439,0.27329267793439,25.8462484757655,0.258462484757655,-1242.41307075185,-12.4241307075185,-1182.1809174127,-11.821809174127
"71","Pinus palustris",11.6101215556024,0.116101215556024,11.2359690586414,0.112359690586414,12.8257000428529,0.128257000428529,12.3258468588611,0.123258468588611,-156814.717972718,-1568.14717972718,-163121.11494413,-1631.2111494413
"72","Pinus pinaster",13.4629208869683,0.134629208869683,14.1154312014415,0.141154312014415,13.4371791889051,0.134371791889051,14.0481076145509,0.140481076145509,-7342.16579457371,-73.4216579457371,-6977.57329685066,-69.7757329685066
"73","Pinus ponderosa",16.4896289740046,0.164896289740046,16.698984907683,0.16698984907683,21.3840849166161,0.213840849166161,20.4318625883155,0.204318625883155,-435406.492086876,-4354.06492086876,-418647.838575511,-4186.47838575511
"74","Pinus resinosa",15.2647213882317,0.152647213882317,15.159160747665,0.15159160747665,19.2765916373401,0.192765916373401,18.7867905017825,0.187867905017825,-164569.156598697,-1645.69156598697,-166363.311220794,-1663.63311220794
"75","Pinus rigida",12.5844557459746,0.125844557459746,12.4321796538715,0.124321796538715,12.9028282018199,0.129028282018199,12.7661345646444,0.127661345646444,-105487.608391817,-1054.87608391817,-107336.123605128,-1073.36123605128
"76","Pinus serotina",11.7232703796617,0.117232703796617,11.8793395272461,0.118793395272461,11.9102470391359,0.119102470391359,12.0929472178166,0.120929472178166,-30639.1402057343,-306.391402057343,-30249.7141245237,-302.497141245237
"77","Pinus strobus",16.8501480994532,0.168501480994532,17.0853994302941,0.170853994302941,19.9437164424192,0.199437164424192,19.9136809894387,0.199136809894387,-208392.813017103,-2083.92813017103,-201477.901635803,-2014.77901635803
"78","Pinus sylvestris",21.8936342203477,0.218936342203477,21.9475265482821,0.219475265482821,22.4682160110803,0.224682160110803,22.344650959549,0.22344650959549,-25094.8821120046,-250.948821120046,-24488.6982812628,-244.886982812628
"79","Pinus taeda",11.2614140479856,0.112614140479856,10.859664626251,0.10859664626251,11.9888089150884,0.119888089150884,11.6330795680437,0.116330795680437,-1687471.86512766,-16874.7186512766,-1767607.46292129,-17676.0746292129
"80","Pinus virginiana",13.2769436223748,0.132769436223748,13.1049350440808,0.131049350440808,14.0635337070521,0.140635337070521,13.8702453289021,0.138702453289021,-260976.04208551,-2609.7604208551,-266239.54260548,-2662.3954260548
"81","Platanus occidentalis",12.8156339583061,0.128156339583061,12.8516717527475,0.128516717527475,12.8648185180285,0.128648185180285,12.8980088717794,0.128980088717794,-59921.5432076464,-599.215432076464,-59864.72417905,-598.6472417905
"82","Populus balsamifera",15.5820606768957,0.155820606768957,15.9076440819396,0.159076440819396,15.5820606768957,0.155820606768957,15.9076440819396,0.159076440819396,-17473.1527513309,-174.731527513309,-16784.9321291078,-167.849321291078
"83","Populus deltoides",12.7973300528843,0.127973300528843,12.9931598010066,0.129931598010066,12.7973300528843,0.127973300528843,12.9931598010066,0.129931598010066,-30582.6186202139,-305.826186202139,-30093.0369738894,-300.930369738894
"84","Populus grandidentata",10.0828565063785,0.100828565063785,10.0005254793086,0.100005254793086,10.1253136123345,0.101253136123345,10.0478940866952,0.100478940866952,-340406.714413814,-3404.06714413814,-344313.185941961,-3443.13185941961
"85","Populus tremuloides",11.5315055153871,0.115315055153871,11.5006734748904,0.115006734748904,12.3194838322038,0.123194838322038,12.1200480878237,0.121200480878237,-972453.500987328,-9724.53500987328,-977269.383502152,-9772.69383502152
"86","Prunus pensylvanica",13.3696416586499,0.133696416586499,13.61395234963,0.1361395234963,13.3696416586499,0.133696416586499,13.61395234963,0.1361395234963,-14663.8197486248,-146.638197486248,-14342.4539771865,-143.424539771865
"87","Prunus serotina",11.8542852501138,0.118542852501138,11.8708564464593,0.118708564464593,13.859275197428,0.13859275197428,13.7331894711037,0.137331894711037,-408998.937521513,-4089.98937521513,-408003.785899142,-4080.03785899142
"88","Pseudotsuga menziesii",16.7973961116632,0.167973961116632,17.0278765376891,0.170278765376891,20.2056839846812,0.202056839846812,19.5051773570811,0.195051773570811,-435689.021171579,-4356.89021171579,-420320.241397908,-4203.20241397908
"89","Quercus alba",12.1755476320856,0.121755476320856,12.1489856268084,0.121489856268084,14.9697728452137,0.149697728452137,14.8904119009546,0.148904119009546,-943013.682363857,-9430.13682363857,-944805.777873794,-9448.05777873794
"90","Quercus chrysolepis",17.2992336846076,0.172992336846076,17.4330025742543,0.174330025742543,17.2992336846076,0.172992336846076,17.4330025742543,0.174330025742543,-29538.6953249289,-295.386953249289,-29062.9857353401,-290.629857353401
"91","Quercus coccinea",10.6793791302696,0.106793791302696,10.6265548813208,0.106265548813208,10.8331996537591,0.108331996537591,10.7712994445949,0.107712994445949,-56978.873352892,-569.78873352892,-57241.501854252,-572.41501854252
"92","Quercus ellipsoidalis",13.183321287305,0.13183321287305,13.2860599779429,0.132860599779429,13.183321287305,0.13183321287305,13.2860599779429,0.132860599779429,-53997.178273994,-539.97178273994,-53275.289337892,-532.75289337892
"93","Quercus falcata",11.6062434384724,0.116062434384724,11.615496500758,0.11615496500758,13.1785209092986,0.131785209092986,13.0730121444332,0.130730121444332,-170234.950773548,-1702.34950773548,-169776.76121258,-1697.7676121258
"94","Quercus ilex",23.2597930882603,0.232597930882603,22.2523523629626,0.222523523629626,23.2597930882603,0.232597930882603,22.2523523629626,0.222523523629626,-765.449635619623,-7.65449635619623,-397.371101269716,-3.97371101269716
"95","Quercus kelloggii",16.5108672311852,0.165108672311852,16.8867980317238,0.168867980317238,18.1580612556285,0.181580612556285,18.1306065224602,0.181306065224602,-51296.394358295,-512.96394358295,-47751.2162305775,-477.512162305775
"96","Quercus laurifolia",14.1751440998492,0.141751440998492,14.2182858117319,0.142182858117319,14.1751440998492,0.141751440998492,14.2182858117319,0.142182858117319,-51066.1889356053,-510.661889356053,-50679.3539195996,-506.793539195996
"97","Quercus lyrata",13.7756462089418,0.137756462089418,13.795633080934,0.13795633080934,13.7756462089418,0.137756462089418,13.795633080934,0.13795633080934,-17750.7122346901,-177.507122346901,-17690.9321193922,-176.909321193922
"98","Quercus macrocarpa",14.5530769085736,0.145530769085736,14.6095233115437,0.146095233115437,17.2315999128634,0.172315999128634,17.3275780867131,0.173275780867131,-61242.5314074914,-612.425314074914,-60901.5579297051,-609.015579297051
"99","Quercus marilandica",14.7546385913482,0.147546385913482,14.7888998770761,0.147888998770761,14.7546385913482,0.147546385913482,14.7888998770761,0.147888998770761,-32920.7304574707,-329.207304574706,-32690.8191208466,-326.908191208466
"100","Quercus michauxii",10.6767102111904,0.106767102111904,10.6653545484572,0.106653545484572,12.5959854552943,0.125959854552943,12.5670783816163,0.125670783816163,-565546.395449373,-5655.46395449373,-566520.746340092,-5665.20746340092
"101","Quercus muehlenbergii",10.2472521871478,0.102472521871478,10.2305480756335,0.102305480756335,10.9331957972323,0.109331957972323,10.9150744400727,0.109150744400727,-90733.3693562102,-907.333693562102,-90935.0175097593,-909.350175097593
"102","Quercus nigra",13.3518914250329,0.133518914250329,13.3978756100855,0.133978756100855,14.7079315868156,0.147079315868156,14.7031721537917,0.147031721537917,-180852.576655666,-1808.52576655666,-180113.911248342,-1801.13911248342
"103","Quercus pagoda",11.3200029092562,0.113200029092562,11.3146759295334,0.113146759295334,11.3200029092562,0.113200029092562,11.3146759295334,0.113146759295334,-46019.0236587571,-460.190236587571,-46103.107383415,-461.03107383415
"104","Quercus petraea",17.4645427106221,0.174645427106221,17.1210508990134,0.171210508990134,17.4645427106221,0.174645427106221,17.1210508990134,0.171210508990134,-6898.17270344811,-68.9817270344811,-7283.97553353059,-72.839755335306
"105","Quercus phellos",13.4895534722055,0.134895534722055,13.6107707434587,0.136107707434587,14.0435823872294,0.140435823872294,14.1004796100658,0.141004796100658,-41929.7384606723,-419.297384606723,-41177.6659165015,-411.776659165015
"106","Quercus robur",19.4779964204376,0.194779964204376,18.2515475699201,0.182515475699201,19.8513473021412,0.198513473021412,18.4771918900287,0.184771918900287,-6545.50342008235,-65.4550342008235,-6352.07407442541,-63.5207407442541
"107","Quercus rubra",10.774785204055,0.10774785204055,10.78685634282,0.1078685634282,12.5197504594054,0.125197504594054,12.5359699173907,0.125359699173907,-759495.226057962,-7594.95226057962,-758760.419572573,-7587.60419572573
